#! FIELDS time cv2 metad.bias metad.work
#! SET min_cv2 -pi
#! SET max_cv2 pi
 378.000000 -2.441972 8.067658 18.849881
 379.000000 -2.595282 6.140146 18.899881
 380.000000 -2.467638 7.820314 18.949881
 381.000000 -2.639382 5.710639 18.999880
 382.000000 -2.631849 5.848897 19.049880
 383.000000 -2.618364 6.058516 19.099880
 384.000000 -2.127166 12.099021 19.149879
 385.000000 -1.962988 12.999169 19.199878
 386.000000 -1.559776 9.617771 19.249878
 387.000000 -1.680992 11.414465 19.299878
 388.000000 -1.632199 10.812497 19.349878
 389.000000 -1.478706 8.415313 19.399877
 390.000000 -1.558001 9.784053 19.449877
 391.000000 -1.678372 11.570811 19.499876
 392.000000 -1.617367 10.793644 19.549876
 393.000000 -1.549966 9.800466 19.599876
 394.000000 -1.602380 10.671474 19.649876
 395.000000 -1.594663 10.604977 19.699876
 396.000000 -2.043708 13.003039 19.749876
 397.000000 -1.922532 13.428546 19.799875
 398.000000 -1.711923 12.277450 19.849875
 399.000000 -1.437916 8.101212 19.899874
 400.000000 -1.498411 9.215414 19.949874
 401.000000 -1.411127 7.723932 19.999873
 402.000000 -1.426779 8.052313 20.049873
 403.000000 -1.554384 10.303491 20.099872
 404.000000 -1.449924 8.561138 20.149872
 405.000000 -1.555260 10.415520 20.199871
 406.000000 -1.660930 12.009813 20.249871
 407.000000 -1.530105 10.097703 20.299871
 408.000000 -1.764325 13.177409 20.349871
 409.000000 -1.379631 7.511814 20.399870
 410.000000 -1.582644 11.083561 20.449870
 411.000000 -1.778546 13.402333 20.499870
 412.000000 -1.354812 7.180201 20.549869
 413.000000 -1.589085 11.315755 20.599868
 414.000000 -1.427736 8.601304 20.649868
 415.000000 -1.372057 7.633065 20.699867
 416.000000 -2.020338 13.580955 20.749867
 417.000000 -1.701622 12.945492 20.799867
 418.000000 -1.735548 13.327841 20.849866
 419.000000 -1.472547 9.602176 20.899866
 420.000000 -1.639712 12.342325 20.949866
 421.000000 -1.629373 12.251898 20.999866
 422.000000 -1.796385 13.945232 21.049865
 423.000000 -1.906802 14.249061 21.099865
 424.000000 -1.553517 11.219413 21.149864
 425.000000 -1.739901 13.686545 21.199864
 426.000000 -1.634937 12.556396 21.249864
 427.000000 -2.203096 12.019485 21.299863
 428.000000 -2.141077 12.842963 21.349863
 429.000000 -1.646086 12.789097 21.399862
 430.000000 -2.268679 11.222417 21.449862
 431.000000 -1.905205 14.554172 21.499861
 432.000000 -2.247748 11.601099 21.549861
 433.000000 -1.711134 13.680354 21.599860
 434.000000 -1.958186 14.556324 21.649860
 435.000000 -1.754808 14.175097 21.699860
 436.000000 -2.581002 6.822202 21.749859
 437.000000 -1.532490 11.220001 21.799859
 438.000000 -1.631011 12.866787 21.849859
 439.000000 -1.710014 13.902120 21.899859
 440.000000 -1.329482 7.441236 21.949858
 441.000000 -1.657047 13.356731 21.999858
 442.000000 -1.754061 14.431725 22.049858
 443.000000 -1.798621 14.773993 22.099858
 444.000000 -1.510690 11.130145 22.149857
 445.000000 -1.544454 11.792982 22.199857
 446.000000 -1.754898 14.618838 22.249857
 447.000000 -1.469650 10.483658 22.299857
 448.000000 -1.575602 12.469165 22.349857
 449.000000 -1.874208 15.212950 22.399856
 450.000000 -1.379190 8.784442 22.449856
 451.000000 -1.327845 7.793539 22.499856
 452.000000 -1.347384 8.237661 22.549856
 453.000000 -1.370300 8.752887 22.599855
 454.000000 -1.258959 6.587223 22.649855
 455.000000 -1.285168 7.144629 22.699855
 456.000000 -1.466312 10.817111 22.749854
 457.000000 -1.449650 10.541413 22.799854
 458.000000 -1.597771 13.229793 22.849854
 459.000000 -1.775918 15.185086 22.899854
 460.000000 -1.372828 9.113655 22.949853
 461.000000 -1.600363 13.403757 22.999853
 462.000000 -1.549632 12.631923 23.049852
 463.000000 -1.494056 11.675383 23.099852
 464.000000 -1.385994 9.567080 23.149852
 465.000000 -1.754041 15.279826 23.199852
 466.000000 -1.677394 14.650161 23.249851
 467.000000 -1.771424 15.482670 23.299851
 468.000000 -2.125872 13.807701 23.349851
 469.000000 -1.828461 15.775062 23.399850
 470.000000 -1.572250 13.339814 23.449850
 471.000000 -1.700407 15.106793 23.499849
 472.000000 -1.819469 15.891422 23.549849
 473.000000 -1.317469 8.380856 23.599849
 474.000000 -1.578221 13.612195 23.649849
 475.000000 -1.517691 12.599065 23.699848
 476.000000 -1.405546 10.390120 23.749848
 477.000000 -1.553338 13.337977 23.799848
 478.000000 -1.563748 13.565932 23.849847
 479.000000 -1.217286 6.555327 23.899847
 480.000000 -1.245652 7.177697 23.949846
 481.000000 -1.491017 12.361749 23.999846
 482.000000 -1.385659 10.244720 24.049845
 483.000000 -1.190375 6.206263 24.099845
 484.000000 -2.244422 12.246347 24.149845
 485.000000 -2.466117 8.686150 24.199845
 486.000000 -1.498357 12.640832 24.249845
 487.000000 -2.402323 9.753839 24.299844
 488.000000 -2.133756 14.063272 24.349843
 489.000000 -2.041994 15.251744 24.399843
 490.000000 -2.140793 14.062628 24.449843
 491.000000 -2.410922 9.767004 24.499842
